'Are you sure that you want to remove the applied coupon code?','Are you sure that you want to remove the applied coupon code?'
'<a href="#" onclick="%s">log in</a>','<a href="#" onclick="%s">log in</a>'
'There was an error during changing product qty','There was an error during changing product qty'
'Product was not found','Product was not found'
'There was an error during removing product from order','There was an error during removing product from order'
'None','None'
'Checkbox','Checkbox'
'PopUp','PopUp'
'Country by IP Address','Country by IP Address'
'Location/City by IP Address','Location/City by IP Address'
'The coupon code is already applied.','The coupon code is already applied.'
'The coupon code is invalid.','The coupon code is invalid.'
'Check Order Information','Check Order Information'
'Loading step data...','Loading step data...'
'Checkout','Checkout'
'Address','Address'
'Submitting order information...','Submitting order information...'
'Use same address for shipping','Use same address for shipping'
'Create an account for me','Create an account for me'
'Do you have an account?','Do you have an account?'
'Login','Login'
'Please log in below:','Please log in below:'
'Email Address','Email Address'
'Password','Password'
'* Required Fields','* Required Fields'
'Forgot your password?','Forgot your password?'
'Checkout as Guest','Checkout as Guest'
'Register','Register'
'Close','Close'
'Card Verification Number Visual Reference','Card Verification Number Visual Reference'
'Remove item','Remove item'
'Billing Address','Billing Address'
'Shipping Address','Shipping Address'
'Shipping Method','Shipping Method'
'Payment Method','Payment Method'
'Other Information','Other Information'
'Email','Email'
'Create an Account','Create an Account'
'No','No'
'Yes','Yes'
'Comments','Comments'
'Product Name','Product Name'
'Price','Price'
'Qty','Qty'
'Subtotal','Subtotal'
'Change Order Details','Change Order Details'
'Use same address for shipping','Use same address for shipping'
'Submitting order information...','Submitting order information...'
'Use same address for shipping','Use same address for shipping'
'Create an account for me','Create an account for me'
'Loading Order Information...','Loading Order Information...'
'Coupon Code','Coupon Code'
'Apply','Apply'
'Apply Coupon','Apply Coupon'
'Remove', 'Remove Coupon'
'Comments','Comments'
'Sign Up for Newsletter','Sign Up for Newsletter'
'Forgot an Item?','Forgot an Item?'
'Edit Your Cart','Edit Your Cart'
'Submitting order information...','Submitting order information...'
'Special Promotions','Special Promotions'
'Check Order Information','Check Order Information'